blm_category,missing_id
biolink:Disease,UMLS:C5395154
biolink:Disease,UMLS:C5237197
biolink:Disease,UMLS:C5203910
biolink:Disease,UMLS:C5205884
biolink:Disease,UMLS:C5392096
biolink:Disease,UMLS:C5225727
biolink:Disease,UMLS:C5237414
biolink:Disease,UMLS:C5204114
biolink:Disease,UMLS:C5226239
biolink:Disease,UMLS:C5392971
biolink:Disease,UMLS:C5206654
biolink:Disease,UMLS:C5230177
biolink:Disease,UMLS:C5395150
biolink:Disease,UMLS:C5206719
biolink:Disease,UMLS:C5206806
biolink:Disease,UMLS:C5233221
biolink:Disease,UMLS:C5230245
biolink:Disease,UMLS:C5238463
biolink:Disease,UMLS:C5231214
biolink:Disease,UMLS:C5204612
biolink:Disease,UMLS:C5207032
biolink:Disease,UMLS:C5392092
biolink:Disease,UMLS:C5206615
biolink:Disease,UMLS:C5237420
biolink:Disease,UMLS:C5206249
biolink:Disease,UMLS:C5239045
biolink:Disease,UMLS:C5389369
biolink:Disease,UMLS:C5238305
biolink:Disease,UMLS:C5206633
biolink:Disease,UMLS:C5235854
biolink:Disease,UMLS:C5206373
biolink:Disease,UMLS:C5239373
biolink:Disease,UMLS:C5208352
biolink:Disease,UMLS:C5237199
biolink:Disease,UMLS:C5397236
biolink:Disease,UMLS:C5234909
biolink:Disease,UMLS:C5206655
biolink:Disease,UMLS:C5238931
biolink:Disease,UMLS:C5204115
biolink:Disease,UMLS:C5206674
biolink:Disease,UMLS:C5235656
biolink:Disease,UMLS:C5234922
biolink:Disease,UMLS:C5239031
biolink:Disease,UMLS:C5202613
biolink:Disease,UMLS:C5238465
biolink:Disease,UMLS:C5394446
biolink:Disease,UMLS:C5206676
biolink:Disease,UMLS:C5237247
biolink:Disease,UMLS:C0559832
biolink:Disease,UMLS:C5394780
biolink:Disease,UMLS:C5204121
biolink:Disease,UMLS:C5392990
biolink:Disease,UMLS:C5204615
biolink:Disease,UMLS:C5236960
biolink:Disease,UMLS:C5205937
biolink:Disease,UMLS:C5239074
biolink:Disease,UMLS:C5208363
biolink:Disease,UMLS:C5393224
biolink:Disease,UMLS:C5206769
biolink:Disease,UMLS:C5395152
biolink:Disease,UMLS:C5237357
biolink:Disease,UMLS:C5230421
biolink:Disease,UMLS:C5392808
biolink:Disease,UMLS:C5231189
biolink:Disease,UMLS:C5236144
biolink:Disease,UMLS:C5204519
biolink:Disease,UMLS:C5396356
biolink:Disease,UMLS:C5395032
biolink:Disease,UMLS:C5397873
biolink:Disease,UMLS:C5203936
biolink:Disease,UMLS:C5396814
biolink:Disease,UMLS:C5238965
biolink:Disease,UMLS:C5397071
biolink:Disease,UMLS:C5392209
biolink:Disease,UMLS:C5206792
biolink:Disease,UMLS:C5239068
biolink:Disease,UMLS:C5237422
biolink:Disease,UMLS:C5230234
biolink:Disease,UMLS:C5205934
biolink:Disease,UMLS:C5206640
biolink:Disease,UMLS:C5206410
biolink:Disease,UMLS:C5236017
biolink:Disease,UMLS:C5392156
biolink:Disease,UMLS:C5396507
biolink:Disease,UMLS:C5206482
biolink:Disease,UMLS:C5395785
biolink:Disease,UMLS:C5396816
biolink:Disease,UMLS:C5208356
biolink:Disease,UMLS:C5395897
biolink:Disease,UMLS:C5205651
biolink:Disease,UMLS:C5237284
biolink:Disease,UMLS:C3825428
biolink:Disease,UMLS:C5231080
biolink:Disease,UMLS:C5231203
biolink:Disease,UMLS:C5235233
biolink:Disease,UMLS:C5232812
biolink:Disease,UMLS:C5239374
biolink:Disease,UMLS:C5392205
biolink:Disease,UMLS:C5205894
biolink:Disease,UMLS:C5392972
biolink:Disease,UMLS:C5204256
biolink:Disease,UMLS:C5392919
biolink:Disease,UMLS:C5206491
biolink:Disease,UMLS:C5208353
biolink:Disease,UMLS:C5205734
biolink:Disease,UMLS:C5226045
biolink:Disease,UMLS:C5206563
biolink:Disease,UMLS:C5214604
biolink:Disease,UMLS:C5392817
biolink:Disease,UMLS:C5230922
biolink:Disease,UMLS:C5238706
biolink:Disease,UMLS:C5395083
